库编号,统一编号,保存单位,品种名称,译名,科名,属名,学名,系谱,育成年限,原产地,高程,东经,北纬,来源国,芒,壳色,粒色,冬春性,成熟期,穗粒数,穗长,株高,千粒重,粗蛋白,赖氨酸,沉淀值,硬度,容重,抗旱性,耐涝性,芽期耐盐,苗期耐盐,田间抗寒性,人工抗寒性,条锈严重度,条锈反应型,条锈普遍率,叶锈严重度,叶锈反应型,叶锈普遍率,秆锈严重度,秆锈反应型,秆锈普遍率,白粉严重度,白粉反应型,黄矮病,赤霉病病穗,赤霉病病指,赤霉病指数,赤霉病抗性,根腐叶病级,根腐穗病级,其它,省,样品类型
I1B00033,MY000039,京10089,无,(L)枥木赤幌1号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,极早,无,无,139,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00005,MY000040,京10016,ムツべンヶィ,六变形,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,冬,早,无,无,100,无,17.16,0.45,无,23.3,无,4,无,无,无,无,无,65,S,100,10,S,100,80,S,100,6,4,7,100,80.8,4.7,S,MR,R,无,国外,国外
I1B03526,MY000041,苏10051,无,露6号,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,顶,白,红,冬,晚,无,无,115,无,无,无,无,11.4,无,3,无,无,无,无,无,65,S,100,60,MS,100,40,S,100,4,3,4,95,80,4.7,S,R,R,无,国外,国外
I1B04582,MY000042,京11598,无,(M)美乐兰,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,无,无,无,无,无,长,白,红,春,中,无,无,78,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00030,MY000043,京10082,无,明光小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,冬,极早,无,无,86,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00031,MY000044,京10085,无,(N)南布小麦,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,无,红,红,冬,早,无,无,100,无,无,无,无,28.8,无,3,5,无,无,无,无,65,S,100,80,MS,100,40,S,100,6,4,4,100,79.2,4.7,S,MS,R,无,国外,国外
I1B04811,MY000045,京10025,农林1号,nong lin 1 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白毛,红,春,中,无,无,80,无,13.3,0.39,无,无,无,无,3,无,无,无,无,40,S,50,80,MS,100,65,S,100,8,4,6,100,100,5,S,MS,MS,无,国外,国外
I1B00009,MY000046,京10026,农林2号,nong lin 2 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,黑长,黑白,红,强冬,中,无,无,122,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B04581,MY000047,京11606,农林3号,nong lin 3 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白,红,春,极晚,无,无,130,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B00561,MY000048,京11607,农林4号,nong lin 4 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,顶,白,红,弱冬,早,无,无,80,无,15.61,0.41,无,无,无,5,无,无,无,无,无,25,MR,50,5,MS,100,10,MS,100,8,4,6,100,79.2,4.7,S,S,R,无,国外,国外
I1B00562,MY000049,京10027,农林5号,nong lin 5 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,红,红,弱冬,早,无,无,100,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,国外,国外
I1B07951,MY000050,京10028,农林6号,nong lin 6 hao,Gramineae(禾本科),Triticum L.(小麦属),Triticum aestivum L.(普通小麦),无,无,日本,无,无,无,无,长,白毛,红,强冬,中,无,无,80,无,无,无,无,32.5,无,5,无,无,无,无,无,25,S,80,5,MS,100,80,S,100,7,4,6,100,100,5,S,S,R,无,国外,国外
